movie_id,person_id,person_name,character_name,cast_order
9087,3392,Michael Douglas,Andrew Shepherd,0
9087,516,Annette Bening,Sydney Ellen Wade,1
9087,521,Michael J. Fox,Lewis Rothschild,2
9087,8349,Martin Sheen,A.J. MacInerney,3
9087,63279,Anna Deavere Smith,Robin McCall,4
12110,7633,Leslie Nielsen,Count Dracula,0
12110,14639,Mel Brooks,Prof. Abraham Van Helsing,1
12110,1219,Amy Yasbeck,Mina Seward,2
12110,12688,Peter MacNicol,Thomas Renfield,3
12110,12812,Lysette Anthony,Lucy Westenra,4
21032,4724,Kevin Bacon,Balto (voice),0
21032,382,Bob Hoskins,Boris the Goose (voice),1
21032,2233,Bridget Fonda,Jenna (voice),2
21032,12077,Jim Cummings,Steele the Sled Dog (voice),3
21032,110001,Phil Collins,Muk and Luk (voice),4
10858,4173,Anthony Hopkins,Richard Nixon,0
10858,11148,Joan Allen,Pat Nixon,1
10858,6280,Powers Boothe,Alexander Haig,2
10858,228,Ed Harris,E. Howard Hunt,3
10858,382,Bob Hoskins,J. Edgar Hoover,4
1408,16935,Geena Davis,Morgan Adams,0
1408,8654,Matthew Modine,William Shaw,1
1408,8924,Frank Langella,Dawg,2
1408,7868,Maury Chaykin,John Reed,3
1408,8979,Patrick Malahide,Ainstee,4
524,380,Robert De Niro,Sam 'Ace' Rothstein,0
524,4430,Sharon Stone,Ginger McKenna,1
524,4517,Joe Pesci,Nicky Santoro,2
524,4512,James Woods,Lester Diamond,3
524,7167,Don Rickles,Billy Sherbert,4
4584,204,Kate Winslet,Marianne Dashwood,0
4584,7056,Emma Thompson,Elinor Dashwood,1
4584,3291,Hugh Grant,Edward Ferrars,2
4584,207,Tom Wilkinson,Mr. Dashwood,3
4584,4566,Alan Rickman,Col. Christopher Brandon,4
5,3129,Tim Roth,Ted the Bellhop,0
5,3131,Antonio Banderas,Man,1
5,3130,Jennifer Beals,Angela,2
5,3125,Madonna,Elspeth,3
5,3141,Marisa Tomei,Margaret,4
9273,206,Jim Carrey,Ace Ventura,0
9273,3547,Ian McNeice,Fulton Greenwall,1
9273,4001,Simon Callow,Vincent Cadby,2
9273,57096,Maynard Eziashi,Ouda,3
9273,4029,Bob Gunton,Burton Quinn,4
11517,10814,Wesley Snipes,John,0
11517,57755,Woody Harrelson,Charlie,1
11517,16866,Jennifer Lopez,Grace Santiago,2
11517,9287,Robert Blake,Donald Patterson,3
11517,2955,Chris Cooper,Torch,4
8012,8891,John Travolta,Chili Palmer,0
8012,193,Gene Hackman,Harry Zimm,1
8012,14343,Rene Russo,Karen Flores,2
8012,518,Danny DeVito,Martin Weir,3
8012,1117,Dennis Farina,Ray 'Bones' Barboni,4
1710,10205,Sigourney Weaver,Helen Hudson,0
1710,18686,Holly Hunter,M.J. Monahan,1
1710,883,Will Patton,Nico Letti,2
1710,18687,William McNamara,Peter Foley,3
1710,18688,Harry Connick Jr.,Doryll Lee Cullum,4
9691,16483,Sylvester Stallone,Robert Rath,0
9691,3131,Antonio Banderas,Miguel Bain,1
9691,1231,Julianne Moore,Electra,2
9691,58556,Anatoli Davydov,Nicolai Tashlinkov,3
9691,17348,Muse Watson,Ketcham,4
12665,2453,Mary Steenburgen,Jessie Caldwell,0
12665,54789,Sean Patrick Flanery,Jeremy 'Powder' Reed,1
12665,2714,Lance Henriksen,Sheriff Doug Barnum,2
12665,4785,Jeff Goldblum,Donald Ripley,3
12665,36637,Brandon Smith,Deputy Harley Duncan,4
451,2963,Nicolas Cage,Ben Sanderson,0
451,1951,Elisabeth Shue,Sera,1
451,6104,Julian Sands,Yuri,2
451,6105,Richard Lewis,Peter,3
451,6106,Steven Weber,Marc Nussbaum,4
16420,2975,Laurence Fishburne,Othello,0
16420,1350,Irène Jacob,Desdemona,1
16420,11181,Kenneth Branagh,Iago,2
16420,27631,Nathaniel Parker,Cassio,3
16420,232174,Indra Ové,Bianca,4
9263,6886,Christina Ricci,Young Roberta Martin,0
9263,12929,Rosie O'Donnell,Dr. Roberta Martin,1
9263,2155,Thora Birch,Teeny,2
9263,29369,Melanie Griffith,Tina 'Teeny' Tercell,3
9263,12930,Gaby Hoffmann,Young Samantha Albertson,4
17015,30318,Amanda Root,Anne Elliott,0
17015,8785,Ciarán Hinds,Captain Frederick Wentworth,1
17015,87415,Susan Fleetwood,Lady Russell,2
17015,10981,Fiona Shaw,Mrs. Croft,3
17015,14465,John Woodvine,Admiral Croft,4
902,2372,Ron Perlman,One,0
902,2413,Dominique Pinon,Scaphandrier / Les Clones,1
902,13842,Judith Vittet,Miette,2
902,13843,Daniel Emilfork,Krank,3
902,13687,Jean-Claude Dreyfus,Marcello,4
37557,643,Gong Li,Xiao Jingbao,0
37557,146097,Li Bao-Tian,"Tang, the Gang Boss",3
37557,150151,Wang Xiaoxiao,"Shuisheng, the boy",4
37557,143358,Li Xuejian,"Liu, 6th Uncle",5
37557,150152,Chun Sung,"Song, Tang's No. 2",6
9909,1160,Michelle Pfeiffer,Louanne Johnson,0
9909,10477,George Dzundza,Hal Griffith,1
9909,24047,Courtney B. Vance,George Grandey,2
9909,11902,Robin Bartlett,Carla Nichols,3
9909,12642,John Neville,Waiter,4
63,62,Bruce Willis,James Cole,0
63,289,Madeleine Stowe,Dr. Kathryn Railly,1
63,287,Brad Pitt,Jeffrey Goines,2
63,290,Christopher Plummer,Dr. Goines,3
63,52,David Morse,Dr. Peters,4
78802,4138,Craig Sheffer,Henri Guillaumet,0
78802,4513,Elizabeth McGovern,Noëlle Guillaumet,1
78802,3999,Tom Hulce,Antoine de Saint-Exupery,2
78802,58406,Ken Pogue,Pierre Deley,3
78802,554094,Ron Sauvé,Jean-René Lefèbvre,4
9598,58136,Christine Cavanaugh,Babe the Gallant Pig (voice),0
9598,6199,Miriam Margolyes,Fly the Female Sheepdog (voice),1
9598,52699,Danny Mann,Ferdinand the Duck (voice),2
9598,1331,Hugo Weaving,Rex the Male Sheepdog (voice),3
9598,35109,Miriam Flynn,Maa the Very Old Ewe (voice),4
47018,7056,Emma Thompson,Dora Carrington,0
47018,378,Jonathan Pryce,Lytton Strachey,1
47018,27764,Steven Waddington,Ralph Partridge,2
47018,54447,Samuel West,Gerald Brenan,3
47018,17328,Rufus Sewell,Mark Gertler,4
687,4038,Susan Sarandon,Sister Helen Prejean,0
687,2228,Sean Penn,Matthew Poncelet,1
687,10360,Robert Prosky,Hilton Barber,2
687,10361,Raymond J. Barry,Earl Delacroix,3
687,8655,R. Lee Ermey,Clyde Percy,4
139405,1467084,Peter Reznick,Tomas Minton,1
139405,1467085,John McDonough,Freighter Chief,2
139405,1467086,Avi Hoffman,Seaman,3
139405,19208,Matt Malloy,Wall Street Businessman,4
139405,1218074,Abby Lewis,Julia Minton,5
33689,1796,Kirstie Alley,Diane Barrows,0
33689,26472,Steve Guttenberg,Roger Callaway,1
33689,67848,Ashley Olsen,Alyssa Callaway / Amanda Lemmon,2
33689,67849,Mary-Kate Olsen,Amanda Lemmon / Alyssa Callaway,3
33689,92255,Jane Sibbett,Clarice Kensington,4
9603,5588,Alicia Silverstone,Cher Horowitz,0
9603,58150,Stacey Dash,Dionne,1
9603,328,Brittany Murphy,Tai,2
9603,22226,Paul Rudd,Josh,3
9603,49002,Donald Faison,Murray,4
34615,15152,James Earl Jones,Rev. Stephen Kumalo,0
34615,17764,Charles S. Dutton,John Kumalo,1
34615,123831,Jack Robinson,Ian Jarvis,3
34615,123833,Tsholofelo Wechoemang,Child,5
34615,123834,Ramalao Makhene,Ramalao Makhene,6
31174,1327,Ian McKellen,Richard III,0
31174,516,Annette Bening,Elizabeth,1
31174,388,Jim Broadbent,The Duke of Buckingham,2
31174,5470,Kristin Scott Thomas,Lady Anne,3
31174,42566,Adrian Dunbar,James Tyrrell,4
11443,18291,Larenz Tate,Anthony Curtis,0
11443,65827,Keith David,Kirby,1
11443,66,Chris Tucker,Skip,2
11443,6862,Freddy Rodríguez,Jose,3
11443,69447,Rose Jackson,Juanita Benson,4
35196,3223,Robert Downey Jr.,Robert Merivel,0
35196,5344,Meg Ryan,Katharine,1
35196,4783,Sam Neill,King Charles II,2
35196,11207,David Thewlis,John Pearce,3
35196,3291,Hugh Grant,Elias Finn,4
9312,38559,Christopher Lambert,Lord Rayden,0
9312,57250,Robin Shou,Liu Kang,1
9312,57251,Linden Ashby,Johnny Cage,2
9312,11398,Cary-Hiroyuki Tagawa,Shang Tsung,3
9312,20751,Bridgette Wilson,Sonya Blade,4
577,2227,Nicole Kidman,Suzanne Stone Maretto,0
577,2876,Matt Dillon,Larry Maretto,1
577,73421,Joaquin Phoenix,Jimmy Emmett,2
577,1893,Casey Affleck,Russel Hines,3
577,7796,Illeana Douglas,Janice Maretto,4
11861,1920,Winona Ryder,Finn Dodd,0
11861,10774,Anne Bancroft,Glady Joe Cleary,1
11861,9560,Ellen Burstyn,Hy Dodd,2
11861,18794,Kate Nelligan,Constance Saunders,3
11861,14500,Jean Simmons,Em,4
807,287,Brad Pitt,Detective David Mills,0
807,192,Morgan Freeman,Detective Lt. William Somerset,1
807,12052,Gwyneth Paltrow,Tracy Mills,2
807,11885,John C. McGinley,California,3
807,1979,Kevin Spacey,John Doe,4
10530,65529,Irene Bedard,Pocahontas (voice),0
10530,2461,Mel Gibson,John Smith (voice),1
10530,28010,David Ogden Stiers,Governor Ratcliffe (voice),2
10530,31365,John Kassir,Meeko (voice),3
10530,3203,Russell Means,Powhatan (voice),4
8391,54818,Pascale Bussières,Camille Baker,0
8391,54819,Rachael Crawford,Petra,1
8391,15319,Henry Czerny,Martin,2
8391,20173,Don McKellar,Timothy,3
629,9045,Stephen Baldwin,Michael McManus,0
629,5168,Gabriel Byrne,Dean Keaton,1
629,9046,Chazz Palminteri,US Customs Agent Dave Kujan,2
629,7166,Kevin Pollak,Todd Hockney,3
629,4935,Pete Postlethwaite,Kobayashi,4
117164,74375,Cynthia Rothrock,Cynthia Mckay,0
117164,63941,Marshall R. Teague,,1
117164,1093379,Daniel McVicar,,2
117164,42137,Lydie Denier,,3
117164,53552,John O'Leary,,4
11448,1243,Woody Allen,Lenny,0
11448,23931,Mira Sorvino,Linda Ash,1
11448,1283,Helena Bonham Carter,Amanda,2
11448,1164,F. Murray Abraham,Chorleiter,3
11448,10560,Donald Symington,Amanda's Father,4
49133,27392,Enrico Lo Verso,Gino,0
49133,25819,Michele Placido,Fiore,1
49133,1149435,Piro Milkani,Selimi,2
49133,1180060,Carmelo Di Mazzarelli,Spiro,3
49133,1904515,Marjeta Ljarja,Factory's manager,4
26441,26472,Steve Guttenberg,Sheriff Tom Palmer,0
26441,46423,Olivia d'Abo,Miss Anna Mongomery,1
26441,6067,Jay O. Sanders,Coach Jay Huffer,2
26441,8659,John Terry,Edwin V. Douglas,3
26441,69395,Bug Hall,Newt Shaw,4
97406,10431,Jennifer Jason Leigh,Sadie Flood,0
97406,51544,Mare Winningham,Georgia Flood,1
97406,15854,Ted Levine,Jake,2
97406,7268,Max Perlich,Axel Goldman,3
97406,42746,John Doe,Bobby,4
124057,198643,Johnny Morina,Alex Cole,0
124057,56890,Malcolm McDowell,Merlin,1
124057,41743,Maggie Castle,Jenny,2
124057,1569328,James Rae,Sheriff Ferguson,3
124057,11086,Michael Ironside,Butch Scarsdale,4
9089,18686,Holly Hunter,Claudia Larson,0
9089,3223,Robert Downey Jr.,Tommy Larson,1
9089,10774,Anne Bancroft,Adele Larson,2
9089,1466,Charles Durning,Henry Larson,3
9089,6194,Claire Danes,Kitt Larson,4
11010,24366,Philippe Noiret,Pablo Neruda,0
11010,67792,Massimo Troisi,Mario Ruoppolo,1
11010,10777,Maria Grazia Cucinotta,Beatrice Russo,2
11010,14149,Renato Scarpa,Telegrapher,3
11010,538696,Linda Moretti,Donna Rosa,4
99040,38524,Lothaire Bluteau,Pierre Lamontagne,0
99040,1019878,Patrick Goyette,Marc Lamontagne,1
99040,1019879,Jean-Louis Millette,Raymond Massicotte,2
99040,5470,Kristin Scott Thomas,Assistant to Hitchcock,3
99040,223877,Ron Burrage,Alfred Hitchcock,4
11359,69301,Hal Scardino,Omri,0
11359,69302,Litefoot,Little Bear,1
11359,32225,Lindsay Crouse,Jane,2
11359,28633,Richard Jenkins,Victor,3
11359,1318612,Rishi Bhat,Patrick,4
17182,35,Sally Field,Karen McCann,0
17182,2628,Kiefer Sutherland,Robert Doob,1
17182,228,Ed Harris,Mack McCann,2
17182,821,Beverly D'Angelo,Dolly Green,3
17182,33689,Charlayne Woodard,Angel Kosinsky,4
2054,3037,Richard Dreyfuss,Glenn Holland,0
2054,21104,Glenne Headly,Iris Holland,1
2054,21105,Jay Thomas,Bill Meister,2
2054,3019,Olympia Dukakis,Principal Helen Jacobi,3
2054,3905,William H. Macy,Vice Principal Gene Wolters,4
10607,35690,Shawn Wayans,Ashtray,0
10607,9562,Marlon Wayans,Loc Dog,1
10607,66131,Tracey Cherelle Jones,Dashiki,2
10607,27590,Chris Spencer,Preach,3
10607,2535,Vivica A. Fox,Ashtray's Mother,4
19760,18277,Sandra Bullock,Roz,0
19760,5724,Denis Leary,Francis 'Frank' O'Brien,1
19760,5050,Yaphet Kotto,FBI Agent O'Malley,2
19760,8435,Stephen Dillane,Evan Marsh,3
19760,66131,Tracey Cherelle Jones,Cop,4
9536,64998,Pauly Shore,Bud Macintosh,0
9536,9045,Stephen Baldwin,Doyle Johnson,1
9536,16484,Joey Lauren Adams,Monique (as Joey Adams),2
9536,43433,Teresa Hill,Jen,3
9536,7676,William Atherton,Dr. Noah Faulkner,4
11525,29459,Patrick Bergin,Dr. Benjamin Trace,0
11525,40009,Matt Frewer,Jobe Smith,1
11525,58119,Austin O'Brien,Peter Parkette,2
11525,36898,Ely Pouget,Dr. Cori Platt,3
11525,72612,Camille Cooper,Jennifer,4
40628,124150,Jerry Barone,Gennaro Spirito,0
40628,1158,Al Pacino,Gitano Sabatoni,3
40628,1161,Mary Elizabeth Mastrantonio,Luisa Spirito,4
40628,4887,Joe Grifasi,Uncle Joe,5
40628,25879,Geoff Pierson,Dr. Wilson,6
4482,25256,Victoria Abril,Loli,0
4482,35137,Josiane Balasko,Marijo,1
4482,4275,Alain Chabat,Laurent Lafaye,2
4482,13689,Ticky Holgado,Antoine,3
4482,35908,Catherine Hiegel,Dany,4
10634,9778,Ice Cube,Craig Jones,0
10634,66,Chris Tucker,Smokey,1
10634,9781,Nia Long,Debbie,2
10634,8396,Tom Lister Jr.,Deebo,3
10634,56902,John Witherspoon,Mr. Jones,4
755,1461,George Clooney,Seth Gecko,0
755,138,Quentin Tarantino,Richard Gecko,1
755,1037,Harvey Keitel,Jacob Fuller,2
755,3196,Juliette Lewis,Kate Fuller,3
755,11158,Ernest Liu,Scott Fuller,4
11859,13021,William Baldwin,Max Kirkpatrick,0
11859,33665,Cindy Crawford,Kate McQueen,1
11859,782,Steven Berkoff,Colonel Ilya Kazak,2
11859,4443,Christopher McDonald,Lieutenant Meyerson,3
11859,30488,Miguel Sandoval,Emilio Juantorena,4
28387,52419,Josh Hamilton,Grover,0
28387,46423,Olivia d'Abo,Jane,1
28387,52930,Carlos Jacott,Otis,2
28387,7036,Eric Stoltz,Chet,3
28387,78190,Chris Eigeman,Max,4
48750,3829,Jean-Paul Belmondo,Henri Fortin / Jean Valjean,0
48750,35211,Michel Boujenah,André Ziman,1
48750,63895,Alessandra Martines,Elise Ziman,2
48750,141054,Salomé Lelouch,La fille Ziman,3
48750,6014,Annie Girardot,Thénardière 1942,4
20927,2224,Christian Slater,Lewis Farrell,0
20927,31140,Mary Stuart Masterson,Lisa Walker,1
20927,21063,Pamela Adlon,Kim / Pamela Segall,2
20927,16851,Josh Brolin,Danny,3
20927,4890,Brian Tarantina,Randy,4
36929,8872,Rick Moranis,David Leary,0
36929,74036,Tom Arnold,Rosco Bigger - Fang,1
36929,105962,Julianne Phillips,Victoria Tucker,2
36929,10556,Carol Kane,Faith Bigger,3
36929,4175,Jeffrey Tambor,Art Lundstrum,4
9102,27811,Peter Weller,Colonel Hendricksson,0
9102,56977,Roy Dupuis,Becker,1
9102,56978,Jennifer Rubin,Jessica,2
9102,56979,Andrew Lauer,Ace Jefferson,3
9102,25689,Liliana Komorowska,Landowska,4
124626,938895,Nico,Herself,0
124626,109142,Tina Aumont,Herself,1
124626,14397,Jackson Browne,Himself,2
124626,7491,John Cale,Himself,3
124626,18627,Paul Morrissey,Himself,4
27526,514,Jack Nicholson,Freddy Gale,0
27526,52,David Morse,John Booth,1
27526,5657,Anjelica Huston,Mary,2
27526,32,Robin Wright,Jojo,3
27526,6721,Piper Laurie,Helen Booth,4
9623,3416,Demi Moore,Annie Laird,0
9623,7447,Alec Baldwin,Teacher,1
9623,24045,Joseph Gordon-Levitt,Oliver Laird,2
9623,8256,Anne Heche,Juliet,3
9623,4691,James Gandolfini,Eddie,4
46785,1034640,Aida Mohammadkhani,Razieh,0
46785,1034642,Mohsen Kafili,Ali,1
46785,1034643,Fereshteh Sadre Orafaiy,Mother,2
46785,1387299,Anna Borkowska,Old Lady,3
46785,1387300,Mohammad Shahani,Soldier,4
400,1271,Andy García,Jimmy 'The Saint' Tosnia,0
400,1062,Christopher Lloyd,Pieces,1
400,4520,William Forsythe,Franchise,2
400,5502,Bill Nunn,Easy Wind,3
400,4515,Treat Williams,Critical Bill,4
880,13506,Willeke van Ammelrooy,Antonia,0
880,13507,Els Dottermans,Danielle,1
880,13508,Dora van der Groen,Allegonde,2
880,13509,Veerle van Overloop,Thérèse,3
880,13510,Esther Vriesendorp,Thérèse (13),4
146599,19739,"Al Freeman, Jr.",Poppa,0
146599,119598,Phylicia Rashād,Ma Ponk,1
146599,157439,Paula Kelly,Ma Pearl,3
146599,53918,Salli Richardson-Whitfield,Miss Alice (as Salli Richardson),4
146599,54800,Anna Maria Horsford,Miss Annie,5
188588,990400,Victoria Foyt,Oona Hart,0
188588,22137,Viveca Lindfors,Helena Mora,1
188588,69697,Jon Robin Baitz,Jake Axelrod,2
188588,175081,Savannah Smith Boucher,Suzanne,3
188588,24368,Roscoe Lee Browne,Freddy,4
8447,40900,Mark Rylance,William Adamson,0
8447,5470,Kristin Scott Thomas,Matty Crompton,1
8447,14326,Patsy Kensit,Eugenia Alabaster Adamson,2
8447,55037,Jeremy Kemp,Sir Harald Alabaster,3
8447,35862,Douglas Henshall,Edgar Alabaster,4
10534,1229,Jeff Bridges,Captain Christopher 'Skipper' Sheldon,0
10534,6692,Caroline Goodall,Dr. Alice Sheldon,1
10534,47879,John Savage,"McCrea, Albatross Crewman",2
10534,24965,Scott Wolf,Charles 'Chuck' Gieg,3
10534,23958,Jeremy Sisto,Frank Beaumont,4
17414,1206,Jason Alexander,Robert Grant,0
17414,6450,Faye Dunaway,Mrs. Dubrow,1
17414,27564,Eric Lloyd,Kyle Grant,2
17414,4757,Rupert Everett,Lord Rutledge,3
17414,171373,Graham Sack,Brian Grant,4
13997,58198,Chris Farley,Mike Donnelly,0
13997,60950,David Spade,Steve Dodds,1
13997,31511,Grant Heslov,Robbie Mieghem,2
13997,21561,Tim Matheson,Al Donnelly,3
13997,2048,Gary Busey,Drake Sabitch,4
2086,85,Johnny Depp,Gene Watson,0
2086,21365,Courtney Chase,Lynn Watson,1
2086,17764,Charles S. Dutton,Hucy,2
2086,4690,Christopher Walken,Mr. Smith,3
2086,21366,Roma Maffia,Ms. Jones,4
61548,12261,Jason Patric,August King,0
61548,9030,Thandie Newton,Annalees,1
61548,16476,Larry Drake,Olaf Singletary,2
61548,8975,Sam Waterston,Mooney Wright,3
61548,11867,Eric Mabius,Hal Wright,4
9095,1204,Julia Roberts,Mary Reilly,0
9095,6949,John Malkovich,Dr. Henry Jekyll / Edward Hyde,1
9095,47722,George Cole,Der Butler Mr. Poole,2
9095,5658,Michael Gambon,Marys Vater,3
9095,515,Glenn Close,Mrs. Farraday,4
12158,776,Eddie Murphy,Maximillian | Pauly | Guido,0
12158,9780,Angela Bassett,Detective Rita Veder,1
12158,32486,Allen Payne,Detective Justice,2
12158,66554,Kadeem Hardison,Julius Jones,3
12158,56902,John Witherspoon,Silas Green,4
9283,2876,Matt Dillon,Tommy 'Birdman' Rowland,0
9283,11315,Noah Emmerich,Michael 'Mo' Morris,1
9283,49425,Annabeth Gish,Tracy Stover,2
9283,34485,Lauren Holly,Darian Smalls,3
9283,16327,Timothy Hutton,Willie Conway,4
9208,8891,John Travolta,Maj. Vic 'Deak' Deakins,0
9208,2224,Christian Slater,Capt. Riley Hale,1
9208,20767,Samantha Mathis,Terry Carmichael,2
9208,18792,Delroy Lindo,Colonel Max Wilkins,3
9208,4029,Bob Gunton,Pritchett,4
40154,29859,Richard Briers,Henry,0
40154,13637,Joan Collins,Margaretta,1
40154,17483,Michael Maloney,Joe,2
40154,32357,Nicholas Farrell,Tom Newman,3
40154,12094,Jennifer Saunders,Nancy,4
406,1925,Vincent Cassel,Vinz,0
406,5418,Hubert Koundé,Hubert,1
406,5419,Saïd Taghmaoui,Saïd,2
406,5420,Abdel Ahmed Ghili,Abdel,3
406,72270,Souleymane Dicko,Santo,4
45549,41381,Sadie Frost,Jo,0
45549,9642,Jude Law,Billy,1
45549,28848,Sean Pertwee,Tommy,2
45549,30087,Fraser James,Be Bop,3
45549,48,Sean Bean,Venning,4
63076,92561,Nick Broomfield,Narrator,0
63076,92032,Heidi Fleiss,Herself,1
63076,1144665,Madam Alex,Herself,2
63076,1144666,Ivan Nagy,Himself,3
63076,74954,Corinne Bohrer,Actor/Herself,4
11062,1158,Al Pacino,Mayor John Pappas,0
11062,3036,John Cusack,Deputy Mayor Kevin Calhoun,1
11062,2233,Bridget Fonda,Marybeth Cogan,2
11062,1004,Danny Aiello,Frank Anselmo,3
11062,2641,Martin Landau,Judge Walter Stern,4
13685,36422,Luke Wilson,Anthony Adams,0
13685,887,Owen Wilson,Dignan,1
13685,74940,Lumi Cavazos,Inez,2
13685,71555,Andrew Wilson,Future Man,3
13685,52797,Robert Musgrave,Bob Mapplethorpe,4
47475,14,Ellen DeGeneres,Martha Alston,0
47475,8984,Bill Pullman,Whitman Crawford,1
47475,3234,Joan Cusack,Inga Gunther,2
47475,923,Dean Stockwell,Jack Tramonte,3
47475,23709,Joan Plowright,Mrs. Crawford,4
2045,11477,Ray Liotta,Dr. David Krane,0
2045,9625,Linda Fiorentino,Dr. Martha Briggs,1
2045,9979,Peter Coyote,Don Bresler,2
2045,4443,Christopher McDonald,Stewart Gleick,3
2045,19839,David Paymer,Curtis Avery,4
9614,19292,Adam Sandler,Happy Gilmore,0
9614,7399,Ben Stiller,Hal L. - Orderly in Nursing Home (uncredited),1
9614,4443,Christopher McDonald,Shooter McGavin,2
9614,31171,Julie Bowen,Virginia Venit,3
9614,11794,Frances Bay,Grandma Gilmore,4
688,5064,Meryl Streep,Francesca Johnson,0
688,190,Clint Eastwood,Robert Kincaid,1
688,6907,Annie Corley,Caroline Johnson,2
688,10379,Victor Slezak,Michael Johnson,3
688,10380,Jim Haynie,Richard Johnson,4
11907,22686,Maria Schrader,Fanny Fink,0
11907,70887,Pierre Sanoussi-Bliss,Orfeo de Altamar,1
11907,70888,Michael von Au,Lothar Sticker,2
11907,9931,Elisabeth Trissenaar,Madeleine,3
11907,1084,Joachim Król,Anton,4
10874,13472,Tim Curry,Long John Silver,0
10874,19996,Kevin Bishop,Jim Hawkins,1
10874,12094,Jennifer Saunders,Mrs. Bluveridge,2
10874,9188,Billy Connolly,Billy Bones,3
10874,64181,Dave Goelz,,4
89333,937034,Christy Turlington,Herself,0
89333,937035,Azzedine Alaïa,Himself,1
89333,103057,Giorgio Armani,Himself,2
89333,50841,Nadja Auermann,Herself,3
89333,3664,Sandra Bernhard,Herself,4
96357,10361,Raymond J. Barry,Man,0
96357,1112607,Rustam Branaman,Vic Palmieri,1
96357,36197,Jennifer MacDonald,Candy,2
96357,4944,Taylor Nichols,Danny,3
96357,56930,David Selby,Bradford Lumpkin,4
197,2461,Mel Gibson,William Wallace,0
197,2462,Catherine McCormack,Murron MacClannough,1
197,1957,Sophie Marceau,Princess Isabelle,2
197,2463,Patrick McGoohan,King Edward,3
197,2464,Angus Macfadyen,Robert the Bruce,4
103,380,Robert De Niro,Travis Bickle,0
103,1036,Cybill Shepherd,Betsy,1
103,1037,Harvey Keitel,'Sport' Matthew,2
103,1038,Jodie Foster,Iris Steensma,3
103,1039,Peter Boyle,Wizard,4
33542,18897,Jackie Chan,Keung,0
33542,44917,Anita Mui,Elaine,1
33542,10875,Françoise Yip,Nancy,2
33542,44922,Bill Tung,Uncle Bill,3
33542,44919,Marc Akerstream,Tony,4
43566,5064,Meryl Streep,Dr. Carolyn Ryan,0
43566,3896,Liam Neeson,Ben Ryan,1
43566,820,Edward Furlong,Jacob Ryan,2
43566,658,Alfred Molina,Panos Demeris,3
43566,1473,Daniel von Bargen,,4
71754,1283,Helena Bonham Carter,Margaret MacNeil,0
71754,19901,Clive Russell,Neil Currie,1
71754,198287,Craig Olejnik,Jimmy MacNeil,2
71754,18794,Kate Nelligan,Catherine MacNeil,3
71754,6074,Kenneth Welsh,Angus MacNeil,4
43612,12270,Michel Serrault,Francis Bergeade,0
